full_name,email,source_channel,app_opens_before_fair,bookmarks_count,confidence_level,stands_visited,total_dwell_minutes,conversations,stands_not_visited_count,content_pieces_viewed,direct_contacts,fair_influenced_decision,journey_completeness_score
"Hugo Leroy",student0404@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Martin",student0405@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Bernard",student0412@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Robert",student0414@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Simon",student0415@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Lefebvre",student0418@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Thomas",student0428@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Martin",student0429@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Leroy",student0430@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Simon",student0432@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Bernard",student0436@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Bernard",student0455@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Moreau",student0456@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Petit",student0457@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Leroy",student0458@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Moreau",student0459@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Simon",student0460@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Martin",student0461@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Dubois",student0462@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Laurent",student0463@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Moreau",student0464@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Bernard",student0465@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Simon",student0466@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Dubois",student0467@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Leroy",student0468@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Bernard",student0469@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Leroy",student0470@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Lefebvre",student0471@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Simon",student0472@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Thomas",student0473@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Durand",student0474@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Martin",student0475@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Bernard",student0476@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Martin",student0477@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Durand",student0478@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Thomas",student0479@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Durand",student0480@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Dubois",student0481@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Petit",student0482@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Durand",student0483@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Moreau",student0484@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Durand",student0485@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Petit",student0486@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Laurent",student0487@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Durand",student0488@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Simon",student0489@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Laurent",student0490@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Bernard",student0491@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Martin",student0492@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Dubois",student0493@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Moreau",student0494@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Dubois",student0495@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Bernard",student0496@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Simon",student0497@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Lefebvre",student0498@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Thomas",student0499@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Dubois",student0500@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Leroy",student0501@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Moreau",student0502@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Bernard",student0503@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Durand",student0504@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Simon",student0505@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Thomas",student0506@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Lefebvre",student0507@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Thomas",student0508@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Thomas",student0509@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Simon",student0510@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Lefebvre",student0511@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Moreau",student0512@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Lefebvre",student0513@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Simon",student0514@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Thomas",student0515@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Petit",student0516@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Durand",student0517@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Martin",student0518@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Bernard",student0519@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Durand",student0520@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Laurent",student0521@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Lefebvre",student0522@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Thomas",student0523@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Laurent",student0524@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Dubois",student0525@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Bernard",student0526@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Durand",student0527@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Leroy",student0528@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Lefebvre",student0529@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Laurent",student0530@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Laurent",student0531@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Leroy",student0532@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Martin",student0533@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Dubois",student0534@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Lefebvre",student0535@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Martin",student0536@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Dubois",student0537@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Laurent",student0538@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Lefebvre",student0539@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Laurent",student0540@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Dubois",student0541@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Simon",student0542@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Simon",student0543@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Lefebvre",student0544@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Petit",student0545@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Martin",student0546@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Simon",student0547@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Leroy",student0548@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Simon",student0549@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Durand",student0550@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Lefebvre",student0551@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Leroy",student0552@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Bernard",student0553@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Dubois",student0554@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Bernard",student0555@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Thomas",student0556@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Moreau",student0557@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Durand",student0558@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Thomas",student0559@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Moreau",student0560@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Lefebvre",student0561@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Martin",student0562@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Lefebvre",student0563@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Thomas",student0564@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Lefebvre",student0565@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Simon",student0566@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Laurent",student0567@demo-letudiant.fr,,,,,0,,0,,0,0,0,
